league_id,match_week,home_team,away_team,result
1,1,Manchester United,Fulham,1
1,1,Ipswich,Liverpool,-1
1,1,Arsenal,Wolverhampton,1
1,1,Everton,Brighton,-1
1,1,Newcastle United,Southampton,1
1,1,Nottingham Forest,Bournemouth,0
1,1,West Ham United,Aston Villa,-1
1,1,Brentford,Crystal Palace,1
1,1,Chelsea,Manchester City,-1
1,1,Leicester City,Tottenham,0
1,2,Brighton,Manchester United,1
1,2,Tottenham,Everton,1
1,2,Crystal Palace,West Ham United,-1
1,2,Southampton,Nottingham Forest,-1
1,2,Fulham,Leicester City,1
1,2,Manchester City,Ipswich,1
1,2,Aston Villa,Arsenal,-1
1,2,Bournemouth,Newcastle United,0
1,2,Wolverhampton,Chelsea,-1
1,2,Liverpool,Brentford,1
1,3,Arsenal,Brighton,0
1,3,Nottingham Forest,Wolverhampton,0
1,3,Leicester City,Aston Villa,-1
1,3,Ipswich,Fulham,0
1,3,Brentford,Southampton,1
1,3,Everton,Bournemouth,-1
1,3,West Ham United,Manchester City,-1
1,3,Chelsea,Crystal Palace,0
1,3,Newcastle United,Tottenham,1
1,3,Manchester United,Liverpool,-1
1,4,Southampton,Manchester United,-1
1,4,Liverpool,Nottingham Forest,-1
1,4,Manchester City,Brentford,1
1,4,Fulham,West Ham United,0
1,4,Crystal Palace,Leicester City,0
1,4,Brighton,Ipswich,0
1,4,Aston Villa,Everton,1
1,4,Bournemouth,Chelsea,-1
1,4,Tottenham,Arsenal,-1
1,4,Wolverhampton,Newcastle United,-1
1,5,West Ham United,Chelsea,-1
1,5,Aston Villa,Wolverhampton,1
1,5,Fulham,Newcastle United,1
1,5,Southampton,Ipswich,0
1,5,Tottenham,Brentford,1
1,5,Leicester City,Everton,0
1,5,Liverpool,Bournemouth,1
1,5,Crystal Palace,Manchester United,0
1,5,Brighton,Nottingham Forest,0
1,5,Manchester City,Arsenal,0
1,6,Newcastle United,Manchester City,0
1,6,Chelsea,Brighton,1
1,6,Brentford,West Ham United,0
1,6,Everton,Crystal Palace,1
1,6,Arsenal,Leicester City,1
1,6,Nottingham Forest,Fulham,-1
1,6,Wolverhampton,Liverpool,-1
1,6,Ipswich,Aston Villa,0
1,6,Manchester United,Tottenham,-1
1,6,Bournemouth,Southampton,1
1,7,Crystal Palace,Liverpool,-1
1,7,Arsenal,Southampton,1
1,7,Brentford,Wolverhampton,1
1,7,Manchester City,Fulham,1
1,7,West Ham United,Ipswich,1
1,7,Leicester City,Bournemouth,1
1,7,Everton,Newcastle United,0
1,7,Aston Villa,Manchester United,0
1,7,Chelsea,Nottingham Forest,0
1,7,Brighton,Tottenham,1
1,8,Tottenham,West Ham United,1
1,8,Manchester United,Brentford,1
1,8,Fulham,Aston Villa,-1
1,8,Newcastle United,Brighton,-1
1,8,Southampton,Leicester City,-1
1,8,Ipswich,Everton,-1
1,8,Bournemouth,Arsenal,1
1,8,Wolverhampton,Manchester City,-1
1,8,Liverpool,Chelsea,1
1,8,Nottingham Forest,Crystal Palace,1
1,9,Leicester City,Nottingham Forest,-1
1,9,Manchester City,Southampton,1
1,9,Brentford,Ipswich,1
1,9,Brighton,Wolverhampton,0
1,9,Aston Villa,Bournemouth,0
1,9,Everton,Fulham,0
1,9,Crystal Palace,Tottenham,1
1,9,Chelsea,Newcastle United,1
1,9,West Ham United,Manchester United,1
1,9,Arsenal,Liverpool,0
1,10,Newcastle United,Arsenal,1
1,10,Liverpool,Brighton,1
1,10,Ipswich,Leicester City,0
1,10,Bournemouth,Manchester City,1
1,10,Southampton,Everton,1
1,10,Nottingham Forest,West Ham United,1
1,10,Wolverhampton,Crystal Palace,0
1,10,Tottenham,Aston Villa,1
1,10,Manchester United,Chelsea,0
1,10,Fulham,Brentford,1
1,11,Wolverhampton,Southampton,1
1,11,West Ham United,Everton,0
1,11,Brentford,Bournemouth,1
1,11,Crystal Palace,Fulham,-1
1,11,Brighton,Manchester City,1
1,11,Liverpool,Aston Villa,1
1,11,Nottingham Forest,Newcastle United,-1
1,11,Tottenham,Ipswich,-1
1,11,Manchester United,Leicester City,1
1,11,Chelsea,Arsenal,0
1,12,Leicester City,Chelsea,-1
1,12,Fulham,Wolverhampton,-1
1,12,Everton,Brentford,0
1,12,Arsenal,Nottingham Forest,1
1,12,Bournemouth,Brighton,-1
1,12,Aston Villa,Crystal Palace,0
1,12,Manchester City,Tottenham,-1
1,12,Southampton,Liverpool,-1
1,12,Ipswich,Manchester United,0
1,12,Newcastle United,West Ham United,-1
1,13,Brighton,Southampton,0
1,13,Wolverhampton,Bournemouth,-1
1,13,Crystal Palace,Newcastle United,0
1,13,Nottingham Forest,Ipswich,1
1,13,Brentford,Leicester City,1
1,13,West Ham United,Arsenal,-1
1,13,Chelsea,Aston Villa,1
1,13,Tottenham,Fulham,0
1,13,Manchester United,Everton,1
1,13,Liverpool,Manchester City,1
1,14,Ipswich,Crystal Palace,-1
1,14,Leicester City,West Ham United,1
1,14,Southampton,Chelsea,-1
1,14,Manchester City,Nottingham Forest,1
1,14,Newcastle United,Liverpool,0
1,14,Everton,Wolverhampton,1
1,14,Arsenal,Manchester United,1
1,14,Aston Villa,Brentford,1
1,14,Fulham,Brighton,1
1,14,Bournemouth,Tottenham,1
1,15,Brentford,Newcastle United,1
1,15,Aston Villa,Southampton,1
1,15,Crystal Palace,Manchester City,0
1,15,Manchester United,Nottingham Forest,-1
1,15,Fulham,Arsenal,0
1,15,Leicester City,Brighton,0
1,15,Ipswich,Bournemouth,-1
1,15,Tottenham,Chelsea,-1
1,15,West Ham United,Wolverhampton,1
1,16,Arsenal,Everton,0
1,16,Wolverhampton,Ipswich,-1
1,16,Newcastle United,Leicester City,1
1,16,Liverpool,Fulham,0
1,16,Nottingham Forest,Aston Villa,1
1,16,Brighton,Crystal Palace,-1
1,16,Manchester City,Manchester United,-1
1,16,Southampton,Tottenham,-1
1,16,Chelsea,Brentford,1
1,16,Bournemouth,West Ham United,0
1,17,Aston Villa,Manchester City,1
1,17,West Ham United,Brighton,0
1,17,Ipswich,Newcastle United,-1
1,17,Brentford,Nottingham Forest,-1
1,17,Crystal Palace,Arsenal,-1
1,17,Everton,Chelsea,0
1,17,Manchester United,Bournemouth,-1
1,17,Fulham,Southampton,0
1,17,Leicester City,Wolverhampton,-1
1,17,Tottenham,Liverpool,-1
1,18,Manchester City,Everton,0
1,18,Newcastle United,Aston Villa,1
1,18,Nottingham Forest,Tottenham,1
